LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
01:16.309,52.0,SOFT,7.0,True,1,2,20.4,False,33.6,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.557,53.0,SOFT,8.0,True,1,2,20.4,False,33.6,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.783,54.0,SOFT,9.0,True,1,2,20.4,False,33.7,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.954,55.0,SOFT,10.0,True,1,2,20.4,False,33.8,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.982,56.0,SOFT,11.0,True,1,2,20.4,False,33.6,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.071,57.0,SOFT,12.0,True,1,2,20.4,False,33.4,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.028,58.0,SOFT,13.0,True,1,2,20.3,False,33.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.890,59.0,SOFT,14.0,True,1,2,20.4,False,33.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.909,60.0,SOFT,15.0,True,1,2,20.5,False,33.8,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.007,61.0,SOFT,16.0,True,1,2,20.6,False,34.1,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.461,62.0,SOFT,17.0,True,1,2,20.7,False,34.4,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.868,63.0,SOFT,18.0,True,1,2,20.8,False,34.8,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.157,64.0,SOFT,19.0,True,1,2,20.9,False,34.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.536,65.0,SOFT,20.0,True,1,2,20.9,False,34.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.195,66.0,SOFT,21.0,True,1,2,20.8,False,34.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.318,67.0,SOFT,22.0,True,1,2,20.8,False,34.2,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.213,68.0,SOFT,23.0,True,1,2,20.7,False,34.2,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.667,69.0,SOFT,24.0,True,1,2,20.7,False,34.2,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.026,70.0,SOFT,25.0,True,1,2,20.7,False,34.3,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.226,71.0,SOFT,26.0,True,1,2,20.8,False,34.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.422,72.0,SOFT,27.0,True,1,2,20.8,False,33.8,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.111,73.0,SOFT,28.0,True,1,2,20.8,False,33.6,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.095,74.0,SOFT,29.0,True,1,2,20.9,False,33.6,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.601,75.0,SOFT,30.0,True,1,2,20.9,False,33.4,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.696,76.0,SOFT,31.0,True,1,2,20.9,False,34.0,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.070,77.0,SOFT,32.0,True,1,2,20.9,False,34.4,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
