LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
94.632,44.0,24.0,1,1,2.0,bottas,0,28.0,0,49.9,31.9,2.0,95.141,94.784,3.0,2018,56.0,0,1,0,0
94.491,45.0,25.0,1,1,2.0,bottas,0,27.9,0,50.8,31.4,2.0,95.482,94.094,3.0,2018,56.0,0,1,0,0
95.188,46.0,26.0,1,1,2.0,bottas,0,27.6,0,52.5,31.1,2.0,95.437,97.091,3.0,2018,56.0,0,1,0,0
94.733,47.0,27.0,1,1,2.0,bottas,0,27.6,0,52.5,31.1,2.0,95.019,95.073,3.0,2018,56.0,0,1,0,0
95.198,48.0,28.0,1,1,2.0,bottas,0,27.6,0,52.8,31.1,2.0,95.266,95.012,3.0,2018,56.0,0,1,0,0
94.648,49.0,29.0,1,1,2.0,bottas,0,27.5,0,52.9,31.1,2.0,95.302,95.385,3.0,2018,56.0,0,1,0,0
94.046,50.0,30.0,1,1,2.0,bottas,0,27.6,0,52.3,31.3,2.0,95.334,94.671,3.0,2018,56.0,0,1,0,0
94.599,51.0,31.0,1,1,2.0,bottas,0,27.5,0,52.3,31.2,2.0,95.406,93.953,3.0,2018,56.0,0,1,0,0
94.622,52.0,32.0,1,1,2.0,bottas,0,27.5,0,52.1,31.3,2.0,95.412,93.987,3.0,2018,56.0,0,1,0,0
95.428,53.0,33.0,1,1,2.0,bottas,0,27.5,0,52.1,31.3,2.0,95.805,94.829,3.0,2018,56.0,0,1,0,0
95.614,54.0,34.0,1,1,2.0,bottas,0,27.5,0,52.1,31.3,2.0,95.778,94.095,3.0,2018,56.0,0,1,0,0
96.364,55.0,35.0,1,1,2.0,bottas,0,27.6,0,51.6,31.4,2.0,95.947,94.558,3.0,2018,56.0,0,1,0,0
