LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_WET
84.002,29.0,9.0,1,1,2.0,raikkonen,0,22.4,0,65.5,29.8,2.0,84.551,102.082,1.0,2018,53.0,0,0,0,1,0,0
84.097,30.0,10.0,1,1,2.0,raikkonen,0,22.1,1,66.3,29.5,2.0,84.037,82.497,1.0,2018,53.0,0,0,0,1,0,0
83.777,31.0,11.0,1,1,2.0,raikkonen,0,22.0,1,66.6,29.5,2.0,83.847,82.718,1.0,2018,53.0,0,0,0,1,0,0
83.086,32.0,12.0,1,1,2.0,raikkonen,0,22.0,1,66.9,29.5,2.0,84.157,82.839,1.0,2018,53.0,0,0,0,1,0,0
84.837,33.0,13.0,1,1,2.0,raikkonen,0,21.9,1,67.3,29.5,2.0,84.762,83.807,1.0,2018,53.0,0,0,0,1,0,0
84.537,34.0,14.0,1,1,2.0,raikkonen,0,21.9,1,67.2,30.1,2.0,84.056,84.755,1.0,2018,53.0,0,0,0,1,0,0
84.257,35.0,15.0,1,1,2.0,raikkonen,0,22.0,1,66.9,30.7,2.0,84.009,84.456,1.0,2018,53.0,0,0,0,1,0,0
84.236,36.0,16.0,1,1,2.0,raikkonen,0,22.1,0,66.4,31.7,1.0,86.285,84.322,1.0,2018,53.0,0,0,0,1,0,0
84.239,37.0,17.0,1,1,2.0,raikkonen,0,22.2,0,66.1,32.1,1.0,86.235,84.024,1.0,2018,53.0,0,0,0,1,0,0
83.854,38.0,18.0,1,1,2.0,raikkonen,0,22.5,0,65.6,33.2,1.0,89.379,83.894,1.0,2018,53.0,0,0,0,1,0,0
83.936,39.0,19.0,1,1,2.0,raikkonen,0,22.6,0,64.5,33.7,1.0,86.532,83.757,1.0,2018,53.0,0,0,0,1,0,0
83.097,40.0,20.0,1,1,2.0,raikkonen,0,22.8,0,64.3,34.0,1.0,90.857,84.116,1.0,2018,53.0,0,0,0,1,0,0
83.897,41.0,21.0,1,1,2.0,raikkonen,0,22.9,0,63.4,34.1,1.0,86.425,83.768,1.0,2018,53.0,0,0,0,1,0,0
84.652,42.0,22.0,1,1,2.0,raikkonen,0,23.0,0,62.7,34.4,1.0,87.235,84.423,1.0,2018,53.0,0,0,0,1,0,0
84.249,43.0,23.0,1,1,2.0,raikkonen,0,22.8,0,62.6,33.7,1.0,85.919,84.031,1.0,2018,53.0,0,0,0,1,0,0
84.583,44.0,24.0,1,1,2.0,raikkonen,0,22.9,0,61.9,33.5,1.0,85.805,84.392,1.0,2018,53.0,0,0,0,1,0,0
86.019,45.0,25.0,1,1,2.0,raikkonen,0,22.8,0,61.1,33.3,2.0,83.711,84.774,1.0,2018,53.0,0,0,0,1,0,0
84.985,46.0,26.0,1,1,2.0,raikkonen,0,22.9,0,58.2,33.1,2.0,83.512,84.297,1.0,2018,53.0,0,0,0,1,0,0
84.722,47.0,27.0,1,1,2.0,raikkonen,0,22.6,0,55.7,32.7,2.0,83.759,83.927,1.0,2018,53.0,0,0,0,1,0,0
84.857,48.0,28.0,1,1,2.0,raikkonen,0,22.5,0,56.0,32.8,2.0,83.776,83.982,1.0,2018,53.0,0,0,0,1,0,0
85.298,49.0,29.0,1,1,2.0,raikkonen,0,22.7,0,55.0,33.0,2.0,84.251,84.337,1.0,2018,53.0,0,0,0,1,0,0
85.351,50.0,30.0,1,1,2.0,raikkonen,0,22.6,0,53.2,33.1,2.0,84.534,83.705,1.0,2018,53.0,0,0,0,1,0,0
85.075,51.0,31.0,1,1,2.0,raikkonen,0,22.6,0,53.5,33.3,2.0,84.525,83.767,1.0,2018,53.0,0,0,0,1,0,0
85.655,52.0,32.0,1,1,2.0,raikkonen,0,22.8,0,52.2,33.9,2.0,85.368,83.836,1.0,2018,53.0,0,0,0,1,0,0
86.833,53.0,33.0,1,1,2.0,raikkonen,0,22.7,0,51.9,33.6,2.0,86.125,83.881,1.0,2018,53.0,0,0,0,1,0,0
137.044,2.0,4.0,0,674,1.0,bottas,1,21.8,0,66.2,30.3,4.0,136.204,137.281,4.0,2018,36.0,0,0,0,0,1,0
126.167,3.0,5.0,0,4,1.0,bottas,0,21.9,0,65.9,30.5,4.0,127.053,125.602,4.0,2018,36.0,0,0,0,0,1,0
86.776,4.0,6.0,0,1,1.0,bottas,0,22.2,0,64.3,30.9,4.0,86.555,87.285,4.0,2018,36.0,0,0,0,0,1,0
85.763,5.0,7.0,0,1,1.0,bottas,0,22.3,0,63.7,30.9,4.0,85.615,86.163,4.0,2018,36.0,0,0,0,0,1,0
85.538,6.0,8.0,0,1,1.0,bottas,0,22.3,0,64.1,30.2,4.0,85.475,86.251,4.0,2018,36.0,0,0,0,0,1,0
84.981,7.0,9.0,0,1,1.0,bottas,0,22.3,0,64.3,30.4,4.0,85.116,85.981,4.0,2018,36.0,0,0,0,0,1,0
85.007,8.0,10.0,0,1,1.0,bottas,0,22.4,0,64.0,30.4,4.0,84.976,85.982,4.0,2018,36.0,0,0,0,0,1,0
85.163,9.0,11.0,0,1,1.0,bottas,0,22.5,0,64.3,30.4,4.0,85.145,85.955,4.0,2018,36.0,0,0,0,0,1,0
85.176,10.0,12.0,0,1,1.0,bottas,0,22.5,0,64.1,30.4,4.0,85.004,86.249,4.0,2018,36.0,0,0,0,0,1,0
85.203,11.0,13.0,0,1,1.0,bottas,0,22.5,0,63.7,30.3,4.0,85.295,85.985,4.0,2018,36.0,0,0,0,0,1,0
85.065,12.0,14.0,0,1,1.0,bottas,0,22.2,0,64.9,30.2,4.0,85.189,85.092,4.0,2018,36.0,0,0,0,0,1,0
85.224,13.0,15.0,0,1,1.0,bottas,0,22.2,0,64.6,30.1,4.0,85.021,86.028,4.0,2018,36.0,0,0,0,0,1,0
85.024,14.0,16.0,0,1,1.0,bottas,0,22.1,0,64.8,30.1,4.0,85.135,85.949,4.0,2018,36.0,0,0,0,0,1,0
85.284,15.0,17.0,0,1,1.0,bottas,0,22.2,0,64.9,30.2,4.0,85.008,85.976,4.0,2018,36.0,0,0,0,0,1,0
85.014,16.0,18.0,0,1,1.0,bottas,0,22.4,0,63.9,30.4,4.0,84.966,85.919,4.0,2018,36.0,0,0,0,0,1,0
84.915,17.0,19.0,0,1,1.0,bottas,0,22.4,0,64.2,30.1,4.0,84.904,85.921,4.0,2018,36.0,0,0,0,0,1,0
84.582,18.0,20.0,0,1,1.0,bottas,0,22.5,0,63.2,29.9,4.0,84.098,85.956,4.0,2018,36.0,0,0,0,0,1,0
85.291,19.0,21.0,0,1,1.0,bottas,0,22.3,0,63.6,29.8,4.0,85.159,85.803,4.0,2018,36.0,0,0,0,0,1,0
85.008,20.0,22.0,0,1,1.0,bottas,0,22.1,0,63.3,29.5,4.0,85.356,85.763,4.0,2018,36.0,0,0,0,0,1,0
85.169,21.0,23.0,0,1,1.0,bottas,0,22.2,0,63.6,29.8,3.0,85.027,102.054,4.0,2018,36.0,0,0,0,0,1,0
85.271,22.0,24.0,0,1,1.0,bottas,0,22.2,0,63.6,29.8,3.0,85.031,83.953,4.0,2018,36.0,0,0,0,0,1,0
85.325,23.0,25.0,0,1,1.0,bottas,0,22.3,0,63.5,30.0,3.0,85.021,83.535,4.0,2018,36.0,0,0,0,0,1,0
85.076,24.0,26.0,0,2,1.0,bottas,0,22.4,0,63.5,30.0,3.0,85.018,83.084,4.0,2018,36.0,0,0,0,0,1,0
86.181,25.0,27.0,0,2,1.0,bottas,0,22.4,0,63.8,30.1,3.0,85.718,83.586,4.0,2018,36.0,0,0,0,0,1,0
85.473,26.0,28.0,0,2,1.0,bottas,0,22.2,0,64.7,29.8,2.0,84.892,89.839,4.0,2018,36.0,0,0,0,0,1,0
84.199,27.0,29.0,0,1,1.0,bottas,0,22.2,0,65.3,29.8,2.0,84.272,83.733,4.0,2018,36.0,0,0,0,0,1,0
84.359,28.0,30.0,0,1,1.0,bottas,0,22.4,0,65.2,29.8,2.0,88.176,83.515,4.0,2018,36.0,0,0,0,0,1,0
84.551,29.0,31.0,0,1,1.0,bottas,0,22.4,0,65.5,29.8,1.0,88.097,84.002,4.0,2018,36.0,0,0,0,0,1,0
84.037,30.0,32.0,0,1,1.0,bottas,0,22.1,1,66.3,29.5,1.0,88.032,84.097,4.0,2018,36.0,0,0,0,0,1,0
83.847,31.0,33.0,0,1,1.0,bottas,0,22.0,1,66.6,29.5,1.0,86.999,83.777,4.0,2018,36.0,0,0,0,0,1,0
84.157,32.0,34.0,0,1,1.0,bottas,0,22.0,1,66.9,29.5,1.0,87.615,83.086,4.0,2018,36.0,0,0,0,0,1,0
84.762,33.0,35.0,0,1,1.0,bottas,0,21.9,1,67.3,29.5,1.0,86.882,84.837,4.0,2018,36.0,0,0,0,0,1,0
84.056,34.0,36.0,0,1,1.0,bottas,0,21.9,1,67.2,30.1,1.0,87.007,84.537,4.0,2018,36.0,0,0,0,0,1,0
