LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
81.319,29.0,10.0,1,1,2.0,bottas,0,15.7,1,53.3,29.1,5.0,81.419,82.505,2.0,2018,66.0,0,1,0,0
81.445,30.0,11.0,1,1,2.0,bottas,0,15.6,1,53.8,29.0,5.0,81.202,82.733,2.0,2018,66.0,0,1,0,0
82.081,31.0,12.0,1,1,2.0,bottas,0,15.6,1,54.5,28.9,5.0,81.585,82.771,2.0,2018,66.0,0,1,0,0
80.844,32.0,13.0,1,1,2.0,bottas,0,15.7,1,54.7,28.8,5.0,81.004,86.628,2.0,2018,66.0,0,1,0,0
80.847,33.0,14.0,1,1,2.0,bottas,0,15.8,1,54.4,28.9,5.0,80.716,102.022,2.0,2018,66.0,0,1,0,0
80.589,34.0,15.0,1,1,2.0,bottas,0,15.6,1,54.0,29.0,4.0,80.785,99.339,2.0,2018,66.0,0,1,0,0
80.951,35.0,16.0,1,1,2.0,bottas,0,15.7,1,54.3,29.2,3.0,80.817,99.586,2.0,2018,66.0,0,1,0,0
80.947,36.0,17.0,1,1,2.0,bottas,0,15.8,1,53.6,30.3,3.0,80.083,80.982,2.0,2018,66.0,0,1,0,0
81.402,37.0,18.0,1,1,2.0,bottas,0,15.9,1,52.5,30.9,3.0,81.091,80.825,2.0,2018,66.0,0,1,0,0
81.185,38.0,19.0,1,1,2.0,bottas,0,16.1,1,52.2,31.7,3.0,81.031,81.191,2.0,2018,66.0,0,1,0,0
81.265,39.0,20.0,1,1,2.0,bottas,0,15.9,0,51.7,32.2,3.0,81.336,80.072,2.0,2018,66.0,0,1,0,0
81.257,40.0,21.0,1,2,2.0,bottas,0,15.9,1,52.5,32.0,3.0,81.265,81.044,2.0,2018,66.0,0,1,0,0
116.194,41.0,22.0,1,26,2.0,bottas,0,16.2,1,52.6,30.7,3.0,115.212,121.224,2.0,2018,66.0,0,1,0,0
116.214,42.0,23.0,1,672,2.0,bottas,0,16.1,1,51.2,30.3,2.0,122.018,115.038,2.0,2018,66.0,0,1,0,0
81.079,43.0,24.0,1,2,2.0,bottas,0,16.0,1,53.6,31.2,2.0,84.158,81.016,2.0,2018,66.0,0,1,0,0
81.378,44.0,25.0,1,1,2.0,bottas,0,16.1,1,52.1,32.5,2.0,80.625,80.746,2.0,2018,66.0,0,1,0,0
79.944,45.0,26.0,1,1,2.0,bottas,0,16.1,1,52.4,33.0,2.0,80.425,80.681,2.0,2018,66.0,0,1,0,0
80.024,46.0,27.0,1,1,2.0,bottas,0,16.5,1,51.9,34.0,2.0,80.621,80.446,2.0,2018,66.0,0,1,0,0
80.381,47.0,28.0,1,1,2.0,bottas,0,16.7,1,51.6,34.3,2.0,79.766,80.477,2.0,2018,66.0,0,1,0,0
81.942,48.0,29.0,1,1,2.0,bottas,0,16.8,1,49.9,32.3,2.0,80.002,80.805,2.0,2018,66.0,0,1,0,0
79.828,49.0,30.0,1,1,2.0,bottas,0,16.3,1,49.5,31.3,2.0,79.983,80.336,2.0,2018,66.0,0,1,0,0
80.492,50.0,31.0,1,1,2.0,bottas,0,15.8,1,50.7,31.2,2.0,79.902,79.823,2.0,2018,66.0,0,1,0,0
79.924,51.0,32.0,1,1,2.0,bottas,0,15.9,1,51.5,31.1,2.0,79.634,80.442,2.0,2018,66.0,0,1,0,0
79.987,52.0,33.0,1,1,2.0,bottas,0,15.8,1,52.2,31.4,2.0,79.984,79.877,2.0,2018,66.0,0,1,0,0
80.092,53.0,34.0,1,1,2.0,bottas,0,15.9,1,51.6,30.7,2.0,79.831,80.355,2.0,2018,66.0,0,1,0,0
79.946,54.0,35.0,1,1,2.0,bottas,0,16.0,1,51.7,30.7,2.0,80.007,79.777,2.0,2018,66.0,0,1,0,0
79.837,55.0,36.0,1,1,2.0,bottas,0,15.9,1,51.1,32.5,2.0,79.086,79.731,2.0,2018,66.0,0,1,0,0
79.478,56.0,37.0,1,1,2.0,bottas,0,16.1,1,51.8,33.2,2.0,79.811,79.508,2.0,2018,66.0,0,1,0,0
79.094,57.0,38.0,1,1,2.0,bottas,0,16.5,1,51.0,33.2,2.0,79.443,79.515,2.0,2018,66.0,0,1,0,0
80.098,58.0,39.0,1,1,2.0,bottas,0,16.7,1,50.4,33.2,2.0,79.488,79.599,2.0,2018,66.0,0,1,0,0
