LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
01:08.359,64,SOFT,49.0,True,2,2.0,max_verstappen,0,23.3,False,36.3,44.6,1,vandoorne,1:09.858,raikkonen,1:08.071,4.0,2018,71
01:08.042,65,SOFT,50.0,True,2,2.0,max_verstappen,0,23.3,False,37.4,44.6,1,vandoorne,1:24.589,raikkonen,1:07.802,4.0,2018,71
01:07.634,66,SOFT,51.0,True,1,2.0,max_verstappen,0,23.6,False,38.5,44.5,1,sirotkin,1:09.547,raikkonen,1:06.975,4.0,2018,71
01:07.558,67,SOFT,52.0,True,1,2.0,max_verstappen,0,23.6,False,39.8,44.4,1,sirotkin,1:09.116,raikkonen,1:07.471,4.0,2018,71
01:07.469,68,SOFT,53.0,True,1,2.0,max_verstappen,0,23.8,False,39.8,44.6,1,sirotkin,1:09.038,raikkonen,1:07.286,4.0,2018,71
01:07.449,69,SOFT,54.0,True,1,2.0,max_verstappen,0,24.1,False,38.2,44.9,1,sirotkin,1:11.097,raikkonen,1:07.293,4.0,2018,71
01:07.442,70,SOFT,55.0,True,1,2.0,max_verstappen,0,24.0,False,36.3,44.9,1,sainz,1:10.886,raikkonen,1:07.217,4.0,2018,71
01:07.623,71,SOFT,56.0,True,1,2.0,max_verstappen,0,23.8,False,36.7,44.6,NaN,NaN,NaN,NaN,NaN,4.0,2018,71
0,1,,,,1,,raikkonen,0,23.2,False,36.7,47.9,4,max_verstappen,1:15.229,ricciardo,1:16.306,3.0,2018,15
01:10.489,2,ULTRASOFT,4.0,False,2,1.0,raikkonen,1,22.7,False,37.4,47.4,4,max_verstappen,1:09.911,ricciardo,1:10.661,3.0,2018,15
01:09.891,3,ULTRASOFT,5.0,False,1,1.0,raikkonen,0,22.7,False,37.4,47.4,4,max_verstappen,1:09.816,ricciardo,1:10.348,3.0,2018,15
01:09.837,4,ULTRASOFT,6.0,False,1,1.0,raikkonen,0,22.8,False,37.6,47.3,4,max_verstappen,1:09.706,ricciardo,1:09.946,3.0,2018,15
01:09.969,5,ULTRASOFT,7.0,False,1,1.0,raikkonen,0,22.9,False,36.9,46.9,4,max_verstappen,1:09.728,ricciardo,1:09.758,3.0,2018,15
01:09.848,6,ULTRASOFT,8.0,False,1,1.0,raikkonen,0,23.2,False,36.6,46.9,4,max_verstappen,1:09.617,ricciardo,1:09.594,3.0,2018,15
01:09.928,7,ULTRASOFT,9.0,False,1,1.0,raikkonen,0,23.2,False,36.9,47.1,4,max_verstappen,1:09.405,ricciardo,1:09.896,3.0,2018,15
01:09.890,8,ULTRASOFT,10.0,False,1,1.0,raikkonen,0,23.6,False,37.7,47.2,4,max_verstappen,1:09.401,ricciardo,1:09.683,3.0,2018,15
01:09.465,9,ULTRASOFT,11.0,False,1,1.0,raikkonen,0,23.8,False,36.2,47.2,4,max_verstappen,1:09.263,ricciardo,1:09.628,3.0,2018,15
01:09.582,10,ULTRASOFT,12.0,False,1,1.0,raikkonen,0,23.6,False,36.3,47.2,4,max_verstappen,1:09.320,ricciardo,1:09.719,3.0,2018,15
01:09.438,11,ULTRASOFT,13.0,False,1,1.0,raikkonen,0,23.5,False,36.7,47.0,4,max_verstappen,1:09.299,ricciardo,1:09.387,3.0,2018,15
01:08.954,12,ULTRASOFT,14.0,False,2,1.0,raikkonen,0,23.1,False,37.4,46.9,4,max_verstappen,1:09.306,ricciardo,1:09.365,3.0,2018,15
01:09.874,13,ULTRASOFT,15.0,False,2,1.0,raikkonen,0,22.8,False,37.0,46.9,4,max_verstappen,1:09.785,ricciardo,1:09.882,3.0,2018,15
01:09.238,14,ULTRASOFT,16.0,False,2,1.0,raikkonen,0,23.0,False,37.2,46.4,3,max_verstappen,1:09.133,ricciardo,1:09.135,3.0,2018,15
01:28.350,15,ULTRASOFT,17.0,False,26,1.0,raikkonen,0,22.8,False,37.7,46.6,3,max_verstappen,1:27.553,ricciardo,1:28.735,3.0,2018,71
01:33.640,16,SOFT,1.0,True,67,2.0,raikkonen,1,22.5,False,38.5,46.6,3,max_verstappen,1:33.857,ricciardo,1:33.130,3.0,2018,71
01:08.274,17,SOFT,2.0,True,1,2.0,raikkonen,0,22.2,False,39.4,46.7,3,max_verstappen,1:08.687,ricciardo,1:08.228,3.0,2018,71
01:08.409,18,SOFT,3.0,True,1,2.0,raikkonen,0,22.2,False,39.4,46.7,3,max_verstappen,1:08.682,ricciardo,1:08.319,3.0,2018,71
01:08.465,19,SOFT,4.0,True,1,2.0,raikkonen,0,22.6,False,39.5,46.7,3,max_verstappen,1:08.736,ricciardo,1:08.558,3.0,2018,71
01:10.439,20,SOFT,5.0,True,1,2.0,raikkonen,0,22.9,False,38.0,46.7,4,ricciardo,1:08.201,vettel,1:08.548,3.0,2018,71
01:08.859,21,SOFT,6.0,True,1,2.0,raikkonen,0,23.0,False,37.9,46.6,4,ricciardo,1:08.580,vettel,1:08.248,3.0,2018,71
01:08.784,22,SOFT,7.0,True,1,2.0,raikkonen,0,23.2,False,37.5,45.3,4,ricciardo,1:08.656,vettel,1:08.913,3.0,2018,71
01:08.779,23,SOFT,8.0,True,1,2.0,raikkonen,0,22.7,False,38.5,44.6,4,ricciardo,1:08.808,vettel,1:08.558,3.0,2018,71
01:08.548,24,SOFT,9.0,True,1,2.0,raikkonen,0,22.8,False,38.3,44.2,4,ricciardo,1:08.696,vettel,1:08.243,3.0,2018,71
01:08.581,25,SOFT,10.0,True,1,2.0,raikkonen,0,22.8,False,38.4,45.1,4,ricciardo,1:08.525,vettel,1:07.989,3.0,2018,71
01:08.607,26,SOFT,11.0,True,1,2.0,raikkonen,0,23.1,False,38.3,45.2,3,ricciardo,1:08.585,hamilton,1:25.039,3.0,2018,71
01:08.582,27,SOFT,12.0,True,1,2.0,raikkonen,0,23.0,False,37.4,45.2,3,ricciardo,1:08.389,hamilton,1:07.999,3.0,2018,71
01:08.501,28,SOFT,13.0,True,1,2.0,raikkonen,0,22.6,False,38.7,45.4,3,ricciardo,1:08.745,hamilton,1:08.209,3.0,2018,71
01:08.496,29,SOFT,14.0,True,1,2.0,raikkonen,0,22.9,False,38.3,45.4,3,ricciardo,1:08.886,hamilton,1:08.399,3.0,2018,71
01:08.440,30,SOFT,15.0,True,1,2.0,raikkonen,0,22.7,False,38.2,45.5,3,ricciardo,1:08.676,hamilton,1:08.592,3.0,2018,71
01:08.694,31,SOFT,16.0,True,1,2.0,raikkonen,0,22.4,False,39.5,45.7,3,ricciardo,1:08.681,hamilton,1:08.549,3.0,2018,71
01:08.591,32,SOFT,17.0,True,1,2.0,raikkonen,0,22.9,False,38.4,46.1,3,ricciardo,1:08.592,hamilton,1:08.380,3.0,2018,71
01:08.734,33,SOFT,18.0,True,1,2.0,raikkonen,0,23.3,False,37.6,46.1,3,ricciardo,1:08.710,hamilton,1:09.022,3.0,2018,71
01:08.852,34,SOFT,19.0,True,1,2.0,raikkonen,0,23.4,False,37.3,45.7,3,ricciardo,1:08.735,hamilton,1:08.651,3.0,2018,71
01:08.884,35,SOFT,20.0,True,1,2.0,raikkonen,0,23.4,False,36.4,45.7,3,ricciardo,1:08.816,hamilton,1:09.288,3.0,2018,71
01:08.689,36,SOFT,21.0,True,1,2.0,raikkonen,0,22.9,False,37.7,45.7,3,ricciardo,1:08.809,hamilton,1:09.063,3.0,2018,71
01:08.801,37,SOFT,22.0,True,1,2.0,raikkonen,0,22.9,False,37.7,45.6,3,ricciardo,1:09.178,hamilton,1:08.521,3.0,2018,71
01:09.072,38,SOFT,23.0,True,1,2.0,raikkonen,0,23.2,False,37.0,45.7,2,max_verstappen,1:08.815,hamilton,1:09.880,3.0,2018,71
01:08.546,39,SOFT,24.0,True,1,2.0,raikkonen,0,23.1,False,36.6,45.9,2,max_verstappen,1:08.566,vettel,1:08.372,3.0,2018,71
01:08.395,40,SOFT,25.0,True,1,2.0,raikkonen,0,23.4,False,36.9,46.0,2,max_verstappen,1:08.719,vettel,1:08.535,3.0,2018,71
01:08.820,41,SOFT,26.0,True,1,2.0,raikkonen,0,23.7,False,35.4,46.1,2,max_verstappen,1:08.713,vettel,1:08.654,3.0,2018,71
01:08.585,42,SOFT,27.0,True,1,2.0,raikkonen,0,23.7,False,34.7,46.0,2,max_verstappen,1:08.471,vettel,1:08.851,3.0,2018,71
01:08.348,43,SOFT,28.0,True,1,2.0,raikkonen,0,23.1,False,35.8,45.0,2,max_verstappen,1:08.558,vettel,1:08.276,3.0,2018,71
01:08.543,44,SOFT,29.0,True,1,2.0,raikkonen,0,22.9,False,36.1,45.4,2,max_verstappen,1:08.873,vettel,1:08.327,3.0,2018,71
01:08.215,45,SOFT,30.0,True,1,2.0,raikkonen,0,22.5,False,36.8,45.5,2,max_verstappen,1:08.371,vettel,1:08.273,3.0,2018,71
01:08.248,46,SOFT,31.0,True,1,2.0,raikkonen,0,22.7,False,36.5,45.0,2,max_verstappen,1:08.134,vettel,1:08.047,3.0,2018,71
01:08.569,47,SOFT,32.0,True,1,2.0,raikkonen,0,22.7,False,36.6,45.1,2,max_verstappen,1:08.181,vettel,1:08.228,3.0,2018,71
01:08.374,48,SOFT,33.0,True,1,2.0,raikkonen,0,22.6,False,37.3,45.2,2,max_verstappen,1:08.384,vettel,1:08.007,3.0,2018,71
01:07.871,49,SOFT,34.0,True,1,2.0,raikkonen,0,22.7,False,37.3,45.2,2,max_verstappen,1:08.203,vettel,1:08.438,3.0,2018,71
01:07.696,50,SOFT,35.0,True,1,2.0,raikkonen,0,23.0,False,35.7,45.2,2,max_verstappen,1:08.265,vettel,1:07.741,3.0,2018,71
01:08.263,51,SOFT,36.0,True,1,2.0,raikkonen,0,23.4,False,36.1,44.8,2,max_verstappen,1:08.037,vettel,1:07.952,3.0,2018,71
01:07.799,52,SOFT,37.0,True,1,2.0,raikkonen,0,23.4,False,35.6,45.1,2,max_verstappen,1:07.999,vettel,1:07.921,3.0,2018,71
01:08.019,53,SOFT,38.0,True,1,2.0,raikkonen,0,23.1,False,36.1,45.2,2,max_verstappen,1:08.212,vettel,1:07.782,3.0,2018,71
01:08.084,54,SOFT,39.0,True,2,2.0,raikkonen,0,23.3,False,36.5,45.2,2,max_verstappen,1:08.415,vettel,1:08.070,3.0,2018,71
01:07.991,55,SOFT,40.0,True,2,2.0,raikkonen,0,23.8,False,36.3,45.3,2,max_verstappen,1:08.291,vettel,1:08.446,3.0,2018,71
01:07.782,56,SOFT,41.0,True,2,2.0,raikkonen,0,24.2,False,34.7,45.4,2,max_verstappen,1:08.087,vettel,1:07.779,3.0,2018,71
01:07.896,57,SOFT,42.0,True,2,2.0,raikkonen,0,24.1,False,34.3,45.0,2,max_verstappen,1:08.055,vettel,1:08.582,3.0,2018,71
01:07.390,58,SOFT,43.0,True,1,2.0,raikkonen,0,23.9,False,35.4,44.8,2,max_verstappen,1:07.941,vettel,1:07.301,3.0,2018,71
01:07.743,59,SOFT,44.0,True,1,2.0,raikkonen,0,23.9,False,35.3,44.9,2,max_verstappen,1:07.825,vettel,1:07.666,3.0,2018,71
01:07.443,60,SOFT,45.0,True,1,2.0,raikkonen,0,24.0,False,35.5,45.0,2,max_verstappen,1:07.703,vettel,1:07.379,3.0,2018,71
01:07.649,61,SOFT,46.0,True,1,2.0,raikkonen,0,24.2,False,35.0,44.9,2,max_verstappen,1:07.925,vettel,1:07.684,3.0,2018,71
01:08.252,62,SOFT,47.0,True,1,2.0,raikkonen,0,24.1,False,35.6,44.8,2,max_verstappen,1:07.861,vettel,1:07.586,3.0,2018,71
01:07.724,63,SOFT,48.0,True,2,2.0,raikkonen,0,23.8,False,34.9,44.8,2,max_verstappen,1:07.828,vettel,1:07.675,3.0,2018,71
01:08.071,64,SOFT,49.0,True,2,2.0,raikkonen,0,23.3,False,36.3,44.6,2,max_verstappen,1:08.359,vettel,1:08.066,3.0,2018,71
01:07.802,65,SOFT,50.0,True,2,2.0,raikkonen,0,23.3,False,37.4,44.6,2,max_verstappen,1:08.042,vettel,1:07.645,3.0,2018,71
01:06.975,66,SOFT,51.0,True,1,2.0,raikkonen,0,23.6,False,38.5,44.5,2,max_verstappen,1:07.634,vettel,1:07.283,3.0,2018,71
01:07.471,67,SOFT,52.0,True,1,2.0,raikkonen,0,23.6,False,39.8,44.4,2,max_verstappen,1:07.558,vettel,1:07.082,3.0,2018,71
01:07.286,68,SOFT,53.0,True,1,2.0,raikkonen,0,23.8,False,39.8,44.6,2,max_verstappen,1:07.469,vettel,1:07.377,3.0,2018,71
01:07.293,69,SOFT,54.0,True,1,2.0,raikkonen,0,24.1,False,38.2,44.9,2,max_verstappen,1:07.449,vettel,1:07.180,3.0,2018,71
01:07.217,70,SOFT,55.0,True,1,2.0,raikkonen,0,24.0,False,36.3,44.9,2,max_verstappen,1:07.442,vettel,1:07.198,3.0,2018,71
01:06.957,71,SOFT,56.0,True,1,2.0,raikkonen,0,23.8,False,36.7,44.6,NaN,NaN,NaN,NaN,NaN,3.0,2018,71
0,1,,,,1,,vettel,0,22.7,False,38.1,47.4,8,kevin_magnussen,1:17.136,hulkenberg,1:17.932,6.0,2018,15
01:11.070,2,ULTRASOFT,4.0,False,2,1.0,vettel,1,22.7,False,37.4,47.4,7,grosjean,1:11.320,kevin_magnussen,1:12.319,6.0,2018,15
01:10.885,3,ULTRASOFT,5.0,False,1,1.0,vettel,0,22.7,False,37.4,47.4,6,ricciardo,1:10.348,grosjean,1:12.422,6.0,2018,15
01:10.226,4,ULTRASOFT,6.0,False,1,1.0,vettel,0,22.8,False,37.6,47.3,6,ricciardo,1:09.946,grosjean,1:10.337,6.0,2018,15
01:09.713,5,ULTRASOFT,7.0,False,1,1.0,vettel,0,22.9,False,36.9,46.9,6,ricciardo,1:09.758,grosjean,1:10.155,6.0,2018,15
01:09.781,6,ULTRASOFT,8.0,False,1,1.0,vettel,0,23.2,False,36.6,46.9,6,ricciardo,1:09.594,grosjean,1:10.364,6.0,2018,15
01:09.285,7,ULTRASOFT,9.0,False,1,1.0,vettel,0,23.5,False,37.1,47.1,6,ricciardo,1:09.896,grosjean,1:09.937,6.0,2018,15
01:09.816,8,ULTRASOFT,10.0,False,1,1.0,vettel,0,23.6,False,37.7,47.2,6,ricciardo,1:09.683,grosjean,1:09.956,6.0,2018,15
01:09.264,9,ULTRASOFT,11.0,False,1,1.0,vettel,0,23.8,False,36.2,47.2,6,ricciardo,1:09.628,grosjean,1:09.996,6.0,2018,15
01:09.375,10,ULTRASOFT,12.0,False,1,1.0,vettel,0,23.6,False,36.3,47.2,6,ricciardo,1:09.719,grosjean,1:10.166,6.0,2018,15
01:09.664,11,ULTRASOFT,13.0,False,1,1.0,vettel,0,23.5,False,36.7,47.0,6,ricciardo,1:09.387,grosjean,1:10.262,6.0,2018,15
01:09.329,12,ULTRASOFT,14.0,False,2,1.0,vettel,0,23.1,False,37.4,46.9,6,ricciardo,1:09.365,grosjean,1:10.223,6.0,2018,15
01:10.303,13,ULTRASOFT,15.0,False,2,1.0,vettel,0,22.8,False,37.0,46.9,6,ricciardo,1:09.882,grosjean,1:10.448,6.0,2018,15
01:09.232,14,ULTRASOFT,16.0,False,2,1.0,vettel,0,23.0,False,37.2,46.4,5,ricciardo,1:09.135,grosjean,1:10.214,6.0,2018,15
